Élève n°,A/B,Groupe,Arithmétique,Droite réelle,Droite et plan,Automatismes 1-5,Problèmes de géométrie 1,Problèmes de géométrie 2,Fonctions,Statistiques,Automatisme 6-10,Probabilités 3,,,ex3stats
1,A,1,12.67,13.5,13,13,9,14,12.5,12.25,11,14.61,,,
2,A,1,13.33,16,17,15,12,17,17,18,19,15.38,,,
3,B,1,10.67,12.25,17.5,16.25,7,14.5,18,15.25,16.6666666667,16.92,,,
4,A,1,11.33,16.25,12.5,13,4,12,12,18.5,12.5,8.46,,,
5,A,1,8,12.75,10.5,16,2.5,10.5,15,19,12,16.15,,,
6,A,1,18,18.25,18,16.5,12,19,19,17.5,18,16.15,,,
7,B,1,12.67,7.75,14,10,9,15.5,10.5,16.5,15,15.38,,,
8,B,1,11.33,9,14,14,12,17,11.5,6.5,16.875,15.38,,,0
9,B,1,7.2,9.75,12,15,6,10.5,12,13.75,15.5,13.84,,,
10,B,1,14,14,12.5,15.5,6,13.5,17.5,18.25,18.5,12.3,,,
11,B,1,6.67,9.5,11,11.6666666667,4,10,4.5,9.5,11.875,8.46,,,
12,A,1,8.67,14,9,13.5,6,16,16.5,17,16.5,15.38,,,
13,A,1,11.33,17.5,13,17,4,14.5,18.5,17.5,17.5,14.61,,,
14,A,1,4.67,9,13,18,6,15,13,13,16,13.84,,,
15,A,1,20.67,16,13.5,15.5,4,12,16,16,16.5,14.61,,,
16,A,1,2.67,8.75,11.5,11.25,5,14.5,11,7.75,15.625,13.84,,,
17,B,1,11.33,13.75,14.5,16.5,4,14.5,17.5,17.25,17.5,14.61,,,
18,B,2,12,15.5,,14,4,12,16,16,14.5,9.23,,,
19,B,2,6.67,2.5,12.5,8.5,2,11,15,18.25,13.75,17.69,,,
20,B,2,11.33,7.75,6,15,4,8,15.5,15,11,11.53,,,
21,A,2,15.33,18.25,16.5,16,8,18,18,16,17,16.15,,,
22,B,2,6,13,13.5,18,6,15,12.5,15.5,14.5,14.61,,,
23,A,2,10,14.75,8,11.5,3,9,11,14,11.5,13.07,,,
24,A,2,7.33,16.25,13.5,14.375,6,10,12.5,17,13,9.23,,,
25,B,2,2,7.5,10.5,2.5,3,8.5,3.5,18,10,8.46,,,
26,A,2,12.67,10.5,10,8.125,8,12,10,9,11.875,16.15,,,0
27,A,2,15.33,16,12.5,16.5,2,11,16.5,11.5,18,17.69,,,
28,B,2,19.2,13,16.25,14.5,11,19,19.5,16.75,18,16.15,,,
29,B,2,14.67,15.75,12,13,6,16,17.5,16,18.125,13.84,,,
30,B,2,14.67,6.25,8.5,12,6,12,11.25,16.5,13,14.61,,,
31,B,2,11.33,9.25,10.5,16,2.5,10.5,16,14.5,14.5,16.15,,,
32,A,2,14,15.25,12,15,4,7.5,15.5,11,15,11.53,,,1
33,A,2,18.67,12.25,13.5,15,7,14.5,18,15.5,14,16.92,,,
34,A,2,9.33,5.75,4,11.5,4,7.5,7.5,5.5,11.5,6.15,,,0
,,,,,,,,,,,,,,,
,,,Arithmétique,Droite réelle,Droite et plan,Automatismes 1-5,Problèmes de géométrie 1,Problèmes de géométrie 2,Fonctions,Statistiques,Automatisme 6-10,Probabilités 3,,,
,,Mean,11.3452941176471,12.2794117647059,12.3106060606061,13.7990196078441,5.85294117647059,12.9852941176471,14.0514705882353,14.6911764705882,14.8762254901971,13.7964705882353,,,
,,Standard Error,0.767893991877704,0.679939567039943,0.535553016961089,0.543231179578582,0.49215295678475,0.554709738504582,0.679940771819386,0.616005585534132,0.443835292455769,0.513389332261613,,,
,,Mode,11.33,16,12.5,15,4,12,12.5,16,14.5,14.61,,,
,,Median,11.33,13,12.5,14.75,6,12.75,15.25,16,15,14.61,,,
,,First Quartile,8.1675,9.0625,10.5,12.25,4,10.5,11.625,13.1875,12.625,12.4925,,,
,,Third Quartile,14,15.6875,13.5,16,7,15,17.375,17.1875,16.96875,16.15,,,
,,Variance,20.0484802139037,15.7188057040998,9.46496212121212,10.0334038918555,8.23529411764706,10.4618983957219,15.7188614081997,12.9017379679144,6.69765207219613,8.96133262032085,,,
,,Standard Deviation,4.47755292697962,3.96469490681185,3.07651785647542,3.16755487590278,2.86972021591776,3.23448580082243,3.96470193182283,3.59189893620553,2.58798223954418,2.99354849974422,,,
,,Kurtosis,-0.138823256941766,-0.500990978128656,0.884119044853804,3.74241050438113,0.00842944857562067,-0.825854364584525,0.612403471664463,0.51986753433238,-1.20068950020354,0.165527579174456,,,
,,Skewness,-0.0328234503567047,-0.482146031461546,-0.50317813530672,-1.60147276562712,0.850467824094722,0.0657532964224099,-0.929954096753521,-1.16284308353507,-0.190617292766733,-1.0131284701024,,,
,,Range,18.67,15.75,14,15.5,10,11.5,16,13.5,9,11.54,,,
,,Minimum,2,2.5,4,2.5,2,7.5,3.5,5.5,10,6.15,,,
,,Maximum,20.67,18.25,18,18,12,19,19.5,19,19,17.69,,,
,,Sum,385.74,417.5,406.25,469.1666666667,199,441.5,477.75,499.5,505.7916666667,469.08,,,
,,Count,34,34,33,34,34,34,34,34,34,34,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
